Geneid	ESC	PGCLCd6	IVD.D3	IVD.D5	IVD.D7	IVD.D9	IVD.D11	IVD.D13	IVD.D15	IVD.D17	IVD.D20	DIOL.D5	DIOL.S.D1	DIOL.S.D3	DIOL.S.D5	DIOL.S.D7
Acaa1a	76.9066666666667	63.35	66.61	44.3433333333333	31.3266666666667	45.2466666666667	56.37	51.9033333333333	50.4	38.885	33.8033333333333	171.845	78.07	134.41	131.195	104.33
Acaa1b	1.31333333333333	3.56	16.4633333333333	5.71	3.49666666666667	2.69666666666667	5.17	28.1866666666667	26.15	24.92	19.6466666666667	35.53	17.255	31.155	30.685	27.985
Acaa2	69.5233333333333	26.56	48.8866666666667	33.18	22.72	125.176666666667	124.413333333333	7.55	6.06333333333333	7.23	10.5433333333333	108.945	138.98	291.645	118.585	97.75
Acaca	11.34	8.505	12.9033333333333	23.52	33.7033333333333	20.7166666666667	15.0266666666667	2.34	1.88	1.775	1.33666666666667	6.875	10.15	9.395	19.665	8.93
Acacb	19.49	20.75	27.37	6.45666666666667	4.22666666666667	10.9433333333333	25.89	40.6	57.9833333333333	73.375	95.4333333333333	11.57	11.36	9.085	13.935	23.49
Acad10	2.93666666666667	4.215	4.55333333333333	13.5466666666667	13.97	8.09333333333333	12.5333333333333	15.9766666666667	8.69333333333333	6.03	4.16666666666667	18.37	9.285	17.44	26.605	19.315
Acad11	14.72	17.315	27.76	34.1133333333333	53.5266666666667	32.1633333333333	27.95	21.3633333333333	25.57	29.81	38.4566666666667	28.705	21.63	26.16	28.175	26.02
Acad12	2.00333333333333	2.68	8.27333333333333	10.9833333333333	11.3966666666667	10.0266666666667	15.7766666666667	17.0533333333333	9.89	8.16	7.01	12.295	4.425	9.75	8.71	11.915
Acad8	26.3733333333333	32.525	23.9166666666667	21.4	19.1633333333333	26.11	23.1233333333333	11.09	5.05666666666667	3.62	2.44666666666667	31.205	29.04	37.36	26.645	23.095
Acad9	27.6033333333333	22.945	22.0766666666667	25.5966666666667	34.0366666666667	28.1833333333333	23.2566666666667	13.2766666666667	9.94333333333333	11.025	11.0166666666667	20.46	24.355	25.52	22.6	20.93
Acadl	22.42	55.69	114.583333333333	74.8666666666667	38.1066666666667	63.1966666666667	84.32	54.0333333333333	25.13	16.355	11.8566666666667	81.83	69.685	83.495	39.275	56.35
Acadm	127.506666666667	172.02	117.23	66.81	46.9666666666667	77.94	74.5266666666667	36.6933333333333	20.6633333333333	15.345	17.1266666666667	80.71	102.625	92.225	68.555	64.68
Acads	234.77	122.99	107.02	47.0566666666667	35.34	61.8	72.29	53.3166666666667	26.35	19.495	16.25	91.055	97.305	109.425	75.005	67.5
Acadsb	28.8566666666667	21.86	41.8233333333333	48.09	44.8666666666667	67.2466666666667	66.2533333333333	34.44	29.1233333333333	27.11	27.9633333333333	60.91	35.67	64.105	81.725	56.88
Acadvl	21.5733333333333	32.795	79.8566666666667	227.946666666667	190.356666666667	150.303333333333	131.463333333333	50.9866666666667	31.75	24.52	20.6633333333333	95.105	44.55	82.32	105.585	81.945
Acan	0.653333333333333	0.095	0.486666666666667	1.02	0.696666666666667	1.69666666666667	1.04333333333333	0.0766666666666667	0	0.055	0.07	0.165	1.615	1.18	1.46	0.175
Acap1	6.21666666666667	0.54	2.49666666666667	5.4	9.33666666666667	4.52666666666667	2.12666666666667	0.0566666666666667	0.26	0.475	1.20666666666667	1.28	7.835	0.76	0.96	0.175
Acap2	24.5033333333333	22.11	33.6533333333333	39.3566666666667	41.3	53.58	43.8833333333333	7.58333333333333	5.10333333333333	4.785	7.71	15.98	28.115	27.515	18.53	18.35
