,ESCs,PGCLC_d6,IVD_D3,IVD_D5,IVD_D7,IVD_D9,IVD_D10,IVD_D11,PGC_E14.5,PGC_E16.5,PGC_E18.5,P1_oocyte_small,P3_oocyte_small,P4_oocyte_small,P6_oocyte_small,IVD_D13,IVD_D15,IVD_D17,IVD_D20,IVD_D23,2nd.fol_vivo,Incomp.GV_vivo,Comp.GV_vivo,MII_vivo,MII_vitro,2-cell,moduleColors
Crnkl1,23.46062425,22.58108109,19.81813374,20.77697293,23.12321961,26.07115207,30.61686872,35.205262,20.20823688,15.12247135,35.46661146,42.13850432,50.9189118,47.61499433,46.29372707,51.19576729,63.04732127,71.18364283,76.24351367,59.06458851,73.94573326,98.55711662,153.0431743,167.9842769,83.54061603,121.9790972,green
Insm1,0.085829729,0.065635061,3.533891199,4.599892665,1.745584002,1.140302889,1.079900886,0.306521855,3.21517966,2.941988816,0.567063334,0.063030836,0.136729625,0.229640898,0.255872097,2.650836721,6.494222085,13.46262058,17.84615395,16.34236475,12.33674348,7.242050914,30.57282406,110.9615986,126.4506314,4.985500033,yellow
Kiz,3.97268561,22.60359263,29.22649724,39.74627284,45.71207434,32.88826428,29.31410103,28.21627495,55.12821239,45.02064466,35.66586992,28.10529004,26.0159115,28.19876749,25.44292067,21.95778878,13.85774536,12.11410151,8.762575088,7.15190411,6.206559819,4.741784404,3.157906589,1.914135852,4.347858085,5.234280663,red
Xrn2,81.32806541,126.5612541,106.0464683,80.67974013,61.95564383,74.12462018,66.59130628,58.77410632,69.93870081,46.29421349,51.22957439,44.32982375,33.54471972,31.49869256,29.39288346,16.9032609,13.5895518,13.96905032,16.63704036,16.95059965,19.6873056,27.41803644,36.79685016,76.33637028,60.40955627,38.27008,brown
Nxt1,49.05705979,79.71332485,63.9261235,49.44000961,33.86271465,38.34147562,35.81679086,29.34108268,33.34632197,21.4892922,22.66279108,19.8682073,17.13897879,18.45244704,16.7297408,23.18074371,32.47350918,42.90050457,50.43594752,48.82998691,43.36766651,63.06441049,64.92664957,41.07584953,52.57156597,79.24456123,saddlebrown
Cst3,168.8610155,245.06319,175.6037407,156.2271847,127.099915,199.3777061,219.2936604,226.8545218,161.5713313,177.9568124,263.074515,205.9943437,232.0720159,245.6690649,250.7137304,243.3794538,221.3840935,179.5702925,147.2485048,123.6421587,119.9412056,97.68223825,59.19394097,0.279877393,21.15616469,5.509614063,greenyellow
Entpd6,15.31458436,18.40360226,34.03020401,40.58311687,22.71073295,31.68259897,44.53208202,57.08283879,39.34410049,21.95578851,61.18187178,84.45053365,87.17684906,85.01820577,87.01774508,124.9879972,102.2293409,110.1157211,104.8726787,111.7934963,84.08154812,82.99891318,67.01840803,9.691514933,29.80769404,17.3734016,magenta
Abhd12,24.28811556,20.24404629,31.08757681,49.46924347,57.69827977,49.41945777,52.29476858,55.18216252,88.61513161,40.41401208,48.88443087,42.5548383,41.71321414,47.4256988,48.40366607,105.9518094,124.0398047,116.7537425,99.81864147,99.88629825,121.7775325,115.5612601,97.49296695,1.619103492,13.90593041,23.58077348,blue
Gins1,60.19013837,57.44550432,61.16787238,62.0734821,52.03277751,39.9474391,34.13216935,28.88465791,58.61343587,23.37560975,30.80406738,40.34059976,36.47840902,40.46420953,38.0056987,31.50946076,36.22360513,46.21060406,42.12348627,35.92090468,38.14248872,40.41512707,49.43960894,1.70811688,1.780710757,21.10307569,brown
Nsfl1c,46.62062198,43.24941526,48.56359544,44.00411597,51.82429373,46.38568488,48.40814871,44.20665861,46.2331298,57.55298807,56.40476778,56.86326971,54.61115642,53.75941663,49.64002484,53.08422317,45.26583459,42.4551457,37.98509751,40.0135479,34.33029702,38.1593024,33.88361982,0.261070271,2.404199155,14.51257456,greenyellow
Fkbp1a,155.3948655,126.2707968,134.8389462,124.0395084,108.3814462,105.372689,122.3328389,113.2218376,138.8535826,86.98801702,116.0149083,102.4734887,90.69507278,95.47219145,97.54432752,101.0011203,72.3810562,57.49189857,53.01952795,44.98607314,48.972748,41.39533521,38.5932973,86.46010924,99.02454862,70.89594952,brown
Sdcbp2,2.64936842,0.044022265,0.387219203,1.358909288,3.784753079,3.462543713,4.208904315,11.48873762,3.166647035,15.71597451,7.878093565,7.870750191,4.181446988,4.12589093,1.578212519,72.0058406,51.7546452,39.88931266,27.8143527,20.03014515,26.05633681,30.75266635,9.615506345,2.014353834,4.414906623,4.045572371,purple
Rad21l,0,0,1.212849529,44.77897743,92.07563954,40.3770323,27.77717851,30.85202435,131.0182017,65.29073925,32.45498364,7.128392778,5.952900279,3.986273734,2.751777775,3.001053942,2.691320026,3.529006849,6.020412501,4.433553435,6.949388753,4.477123591,0.62953666,1.157285223,0.829409513,0.094340095,black
Psmf1,13.62495851,13.7280743,12.78376761,13.19650017,15.38150208,15.35025337,16.22281251,17.06203366,15.70238316,22.12211363,29.34424806,25.90939553,26.94894003,27.312497,26.07646751,31.1894995,34.73832256,37.08128612,43.68396246,64.23878546,54.38618008,93.70306804,93.14851688,1.837481357,10.13868091,9.524762402,blue
Tbc1d20,21.44395744,27.74863021,36.91810412,53.76766484,64.40509201,72.01975228,83.93961188,82.47401463,57.25396046,73.07504865,158.698765,166.7475457,162.1804242,157.955664,162.2684217,66.61602332,50.31123216,45.22813591,48.22275236,53.84563293,49.6396123,40.5133186,22.28791645,2.271127583,5.857230023,97.22813477,cyan
